season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
2023,Ahmedabad,25-04-2023,Gujarat Titans,Mumbai Indians,,,,,,,,,Narendra Modi Stadium,,,
2023,Bengaluru,26-04-2023,Royal Challengers Bangalore,Kolkata Knight Riders,,,,,,,,,M Chinnaswamy Stadium,,,
2023,Jaipur,27-04-2023,Rajasthan Royals,Chennai Super Kings,,,,,,,,,Sawai Mansingh Stadium,,,
2023,Chandigarh,28-04-2023,Punjab Kings,Lucknow Super Giants,,,,,,,,,Punjab Cricket Association Stadium Mohali,,,
2023,Kolkata,29-04-2023,Kolkata Knight Riders,Gujarat Titans,,,,,,,,,Eden Gardens,,,
2023,Delhi,29-04-2023,Delhi Capitals,Sunrisers Hyderabad,,,,,,,,,Feroz Shah Kotla,,,
2023,Mumbai,30-04-2023,Mumbai Indians,Rajasthan Royals,,,,,,,,,Wankhede Stadium,,,
2023,Chennai,30-04-2023,Chennai Super Kings,Punjab Kings,,,,,,,,,MA Chidambaram Stadium Chepauk,,,
2023,Lucknow,01-05-2023,Lucknow Super Giants,Royal Challengers Bangalore,,,,,,,,,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,,,
2023,Ahmedabad,02-05-2023,Gujarat Titans,Delhi Capitals,,,,,,,,,Narendra Modi Stadium,,,
2023,Chandigarh,03-05-2023,Punjab Kings,Mumbai Indians,,,,,,,,,Punjab Cricket Association Stadium Mohali,,,
2023,Lucknow,04-05-2023,Lucknow Super Giants,Chennai Super Kings,,,,,,,,,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,,,
2023,Hyderabad,04-05-2023,Sunrisers Hyderabad,Kolkata Knight Riders,,,,,,,,,Rajiv Gandhi International Stadium,,,
2023,Jaipur,05-05-2023,Rajasthan Royals,Gujarat Titans,,,,,,,,,Sawai Mansingh Stadium,,,
2023,Chennai,06-05-2023,Chennai Super Kings,Mumbai Indians,,,,,,,,,MA Chidambaram Stadium Chepauk,,,
2023,Delhi,06-05-2023,Delhi Capitals,Royal Challengers Bangalore,,,,,,,,,Feroz Shah Kotla,,,
2023,Ahmedabad,07-05-2023,Gujarat Titans,Lucknow Super Giants,,,,,,,,,Narendra Modi Stadium,,,
2023,Jaipur,07-05-2023,Rajasthan Royals,Sunrisers Hyderabad,,,,,,,,,Sawai Mansingh Stadium,,,
2023,Kolkata,08-05-2023,Kolkata Knight Riders,Punjab Kings,,,,,,,,,Eden Gardens,,,
2023,Mumbai,09-05-2023,Mumbai Indians,Royal Challengers Bangalore,,,,,,,,,Wankhede Stadium,,,
2023,Chennai,10-05-2023,Chennai Super Kings,Delhi Capitals,,,,,,,,,MA Chidambaram Stadium Chepauk,,,
2023,Kolkata,11-05-2023,Kolkata Knight Riders,Rajasthan Royals,,,,,,,,,Eden Gardens,,,
